id,year,tournament,start_date,prize_money,atp_category,tourney_id
1,1973,Australian Open,1972-12-26,$31.000,D,580
2,1973,Baltimore,1973-01-01,,Not ranked,816
3,1973,Sydney-1,1973-01-01,,Not ranked,338
4,1973,Auckland,1973-01-08,,Not ranked,301
5,1973,Birmingham,1973-01-15,,Not ranked,650
6,1973,Miami WCT,1973-01-15,$50.000,E,681
7,1973,Roanoke,1973-01-15,,Not ranked,2022
8,1973,London WCT,1973-01-18,$50.000,E,262
9,1973,Carlsbad WCT,1973-01-22,$50.000,E,813
10,1973,Omaha,1973-01-22,,Not ranked,2036
11,1973,Des Moines,1973-01-29,,Not ranked,2061
12,1973,Milan WCT,1973-01-29,$50.000,E,408
13,1973,Richmond WCT,1973-01-30,$50.000,E,802
14,1973,Philadelphia WCT,1973-02-05,$50.000,E,401
15,1973,Salt Lake City,1973-02-05,,Not ranked,2039
16,1973,Copenhagen WCT,1973-02-11,$50.000,E,481
17,1973,Toronto WCT,1973-02-11,$50.000,E,302
18,1973,Calgary,1973-02-12,$25.000,F,2038
19,1973,Cologne WCT,1973-02-19,$50.000,E,332
20,1973,Salisbury,1973-02-19,$50.000,D,355
21,1973,Chicago WCT,1973-02-26,$50.000,E,818
22,1973,Hampton,1973-02-26,$35.000,F,657
23,1973,Paramus,1973-03-05,,Not ranked,2037
24,1973,San Juan,1973-03-05,,Not ranked,6817
25,1973,Caracas,1973-03-12,,Not ranked,344
26,1973,Charleston,1973-03-12,,Not ranked,6945
27,1973,Hilton Head WCT,1973-03-12,,Not ranked,724
28,1973,Atlanta WCT,1973-03-19,$50.000,E,412
29,1973,Jackson,1973-03-19,,Not ranked,656
30,1973,Washington WCT,1973-03-19,$50.000,E,9211
31,1973,Washington-2,1973-03-20,,Not ranked,2040
32,1973,Vancouver WCT,1973-03-25,$50.000,E,2048
33,1973,St. Louis WCT,1973-03-26,$50.000,E,652
34,1973,Valencia,1973-03-26,$20.000,F,659
35,1973,Barcelona-1,1973-04-02,$20.000,F,278
36,1973,Houston WCT,1973-04-02,$50.000,E,405
37,1973,Munich WCT,1973-04-02,$50.000,E,804
38,1973,Brussels WCT,1973-04-08,$50.000,E,406
39,1973,Cleveland WCT,1973-04-09,$50.000,E,320
40,1973,Nice,1973-04-09,$20.000,F,6120
41,1973,Johannesburg WCT,1973-04-14,$50.000,E,9239
42,1973,Monte Carlo,1973-04-16,$20.000,F,
43,1973,Charlotte WCT,1973-04-17,$50.000,E,436
44,1973,Denver WCT,1973-04-23,$50.000,E,389
45,1973,Gothenberg WCT,1973-04-23,$50.000,E,
46,1973,Madrid-1,1973-04-23,$20.000,F,2026
47,1973,Florence,1973-04-30,$20.000,F,310
48,1973,Kansas City,1973-05-04,,Not ranked,9238
49,1973,Bournemouth,1973-05-07,$50.000,D,347
50,1973,WCT Finals,1973-05-07,,/,610
51,1973,Las Vegas,1973-05-14,$150.000,B,413
52,1973,Roland Garros,1973-05-21,$95.000,A,520
53,1973,Rome,1973-06-02,$104.000,B,416
54,1973,Berlin,1973-06-04,$25.000,F,9240
55,1973,Manchester,1973-06-04,,Not ranked,583
56,1973,Beckenham,1973-06-11,,Not ranked,7310
57,1973,Hamburg,1973-06-11,$50.000,D,414
58,1973,Nottingham,1973-06-11,$50.000,D,350
59,1973,Eastbourne,1973-06-18,$25.000,F,2049
60,1973,London / Queen's Club,1973-06-18,$27.000,D,311
61,1973,Wimbledon,1973-06-25,,Not ranked,540
62,1973,Bastad,1973-07-09,$50.000,E,316
63,1973,Dublin,1973-07-09,,Not ranked,2029
64,1973,Gstaad,1973-07-09,$50.000,E,314
65,1973,Newport,1973-07-09,$23.000,F,2050
66,1973,Boston,1973-07-16,$60.000,E,417
67,1973,Hilversum,1973-07-16,$25.000,F,317
68,1973,Kitzbuhel,1973-07-16,$25.000,F,319
69,1973,Bretton Woods,1973-07-23,$25.000,F,706
70,1973,Munich-2,1973-07-23,,Not ranked,308
71,1973,Washington-3,1973-07-23,$75.000,C,418
72,1973,Columbus,1973-07-30,$25.000,F,343
73,1973,Louisville,1973-07-30,$75.000,C,663
74,1973,Cincinnati,1973-08-06,$50.000,E,422
75,1973,Clemmons,1973-08-06,$25.000,F,2051
76,1973,Haverford,1973-08-13,$25.000,F,2030
77,1973,Indianapolis,1973-08-13,$60.000,D,717
78,1973,South Orange,1973-08-20,$25.000,F,707
79,1973,Toronto-2,1973-08-20,$75.000,C,421
80,1973,US Open,1973-08-29,$135.000,A,560
81,1973,Aptos,1973-09-10,$37.500,F,2042
82,1973,Seattle,1973-09-10,$37.500,F,1499
83,1973,Los Angeles,1973-09-17,$75.000,C,423
84,1973,Columbia,1973-09-19,$25.000,F,9214
85,1973,Alamo,1973-09-24,$50.000,E,424
86,1973,Chicago-2,1973-09-24,$50.000,E,411
87,1973,Osaka,1973-10-01,$25.000,F,498
88,1973,Fort Worth,1973-10-02,$50.000,E,653
89,1973,Quebec,1973-10-02,$50.000,E,1498
90,1973,Barcelona-2,1973-10-08,$75.000,C,425
91,1973,Tokyo,1973-10-08,$46.000,D,329
92,1973,Madrid-2,1973-10-15,$75.000,C,309
93,1973,Manila,1973-10-15,$25.000,F,362
94,1973,New Delhi,1973-10-15,$25.000,F,2045
95,1973,Prague,1973-10-22,$25.000,F,379
96,1973,Tehran,1973-10-22,$80.000,D,2011
97,1973,Hong Kong,1973-10-29,$25.000,F,336
98,1973,Jakarta,1973-10-29,$25.000,F,2046
99,1973,Paris,1973-10-29,$50.000,D,7302
100,1973,Sydney Indoor,1973-11-05,$50.000,E,
101,1973,Stockholm,1973-11-05,$83.000,C,429
102,1973,Christchurch,1973-11-12,$25.000,F,2032
103,1973,London-3,1973-11-12,$10.000,F,2016
104,1973,Johannesburg-2,1973-11-17,$85.000,E,426
105,1973,Adelaide,1973-11-19,,Not ranked,7308
106,1973,Buenos Aires,1973-11-19,$30.000,F,303
107,1973,Masters,1973-12-04,,Not ranked,605
108,1973,Kingston,1973-12-12,,Not ranked,9204
109,1974,Australian Open,1973-12-26,$42.750,E,580
110,1974,Sydney-1,1973-12-29,,Not ranked,338
111,1974,Auckland,1974-01-07,,Not ranked,301
112,1974,Lakeway WCT,1974-01-14,$50.000,Not ranked,6836
113,1974,Roanoke,1974-01-17,,Not ranked,2022
114,1974,Philadelphia WCT,1974-01-21,$100.000,C,401
115,1974,Omaha,1974-01-22,,Not ranked,2036
116,1974,Baltimore,1974-01-29,,Not ranked,816
117,1974,Richmond WCT,1974-01-29,$50.000,E,802
118,1974,Dayton,1974-01-30,$25.000,F,716
119,1974,Little Rock,1974-02-04,,Not ranked,660
120,1974,St Petersburg WCT,1974-02-04,$50.000,E,
121,1974,Birmingham,1974-02-11,,Not ranked,650
122,1974,Bologna WCT,1974-02-11,$50.000,E,312
123,1974,Toronto WCT,1974-02-11,$50.000,E,302
124,1974,London WCT,1974-02-15,$50.000,E,262
125,1974,Long Island WCT,1974-02-18,$50.000,E,2018
126,1974,Salisbury,1974-02-18,$50.000,E,355
127,1974,Barcelona WCT,1974-02-25,$50.000,E,267
128,1974,Carlsbad WCT,1974-02-25,$50.000,E,813
129,1974,Miami WCT,1974-02-25,$50.000,E,681
130,1974,Paramus,1974-02-28,,Not ranked,2037
131,1974,Caracas,1974-03-04,,Not ranked,344
132,1974,Hampton,1974-03-04,$35.000,F,657
133,1974,Calgary,1974-03-11,,Not ranked,2038
134,1974,Sao Paulo WCT,1974-03-11,$50.000,E,237
135,1974,Washington WCT,1974-03-11,$50.000,E,9211
136,1974,Tucson,1974-03-18,$150.000,B,729
137,1974,Jackson,1974-03-20,,Not ranked,656
138,1974,Salt Lake City,1974-03-20,,Not ranked,2039
139,1974,Atlanta WCT,1974-03-25,$50.000,E,412
140,1974,Palm Desert WCT,1974-03-25,$50.000,E,2034
141,1974,Rotterdam WCT,1974-03-25,$50.000,E,407
142,1974,Tempe,1974-03-27,,Not ranked,1537
143,1974,Munich WCT,1974-04-01,$50.000,E,804
144,1974,New Orleans WCT,1974-04-01,$50.000,E,2035
145,1974,Monte-Carlo WCT,1974-04-08,$50.000,E,410
146,1974,Orlando WCT,1974-04-08,$50.000,E,409
147,1974,Tokyo WCT,1974-04-08,$50.000,E,9037
148,1974,Charlotte WCT,1974-04-15,$50.000,E,436
149,1974,Houston WCT,1974-04-15,$50.000,E,405
150,1974,Johannesburg WCT,1974-04-15,$50.000,E,9239
151,1974,Denver WCT,1974-04-22,$50.000,E,389
152,1974,St Louis WCT,1974-04-22,$50.000,E,
153,1974,Acapulco,1974-05-01,$25.000,F,9213
154,1974,Florence,1974-05-06,$25.000,F,310
155,1974,WCT Finals,1974-05-08,,Not ranked,610
156,1974,Las Vegas,1974-05-13,$150.000,B,413
157,1974,Munich-2,1974-05-15,$25.000,F,308
158,1974,Bournemouth,1974-05-20,$50.000,E,347
159,1974,Hamburg,1974-05-20,$50.000,E,414
160,1974,Rome,1974-05-25,$101.600,C,416
161,1974,Roland Garros,1974-06-03,$150.000,A,520
162,1974,Beckenham,1974-06-10,,Not ranked,7310
163,1974,Nottingham,1974-06-17,$100.000,C,350
164,1974,Wimbledon,1974-06-24,$167.000,A,540
165,1974,Bastad,1974-07-08,$50.000,E,316
166,1974,Dublin,1974-07-08,$25.000,F,2029
167,1974,Gstaad,1974-07-08,$50.000,E,314
168,1974,Chicago,1974-07-15,$50.000,E,411
169,1974,Hilversum,1974-07-15,$25.000,F,317
170,1974,Kitzbuhel,1974-07-15,$50.000,E,319
171,1974,Washington-2,1974-07-22,$100.000,C,418
172,1974,Cincinnati,1974-07-29,$30.000,F,422
173,1974,Louisville,1974-07-29,$100.000,C,663
174,1974,Bretton Woods,1974-08-05,$50.000,E,706
175,1974,Indianapolis,1974-08-05,$100.000,C,717
176,1974,Toronto-2,1974-08-12,$100.000,C,421
177,1974,Columbus,1974-08-12,$50.000,E,343
178,1974,Boston,1974-08-19,$100.000,C,417
179,1974,South Orange,1974-08-19,$50.000,E,707
180,1974,Haverford,1974-08-19,$25.000,F,2030
181,1974,US Open,1974-08-28,$150.000,A,560
182,1974,Cedar Grove,1974-09-09,$50.000,E,2031
183,1974,Los Angeles,1974-09-16,$100.000,C,423
184,1974,San Francisco,1974-09-23,$100.000,C,424
185,1974,Maui,1974-09-30,$50.000,E,324
186,1974,Madrid,1974-10-07,$75.000,D,309
187,1974,Tokyo-2,1974-10-07,$75.000,D,329
188,1974,Barcelona-2,1974-10-14,$75.000,D,425
189,1974,Sydney-2,1974-10-14,$75.000,D,427
190,1974,Teheran,1974-10-21,$100.000,C,
191,1974,Christchurch,1974-10-21,$25.000,F,2032
192,1974,Melbourne,1974-10-21,$25.000,F,9342
193,1974,Jakarta,1974-10-28,$50.000,E,494
194,1974,Paris,1974-10-28,$50.000,E,7302
195,1974,Vienna,1974-10-28,$25.000,F,337
196,1974,Stockholm,1974-11-04,$100.000,C,429
197,1974,Hong Kong,1974-11-04,$50.000,E,336
198,1974,London-2,1974-11-11,$30.000,D,2016
199,1974,Bombay,1974-11-11,$50.000,E,1729
200,1974,Manila,1974-11-11,$50.000,E,362
201,1974,Oslo,1974-11-11,$25.000,F,2033
202,1974,Buenos Aires,1974-11-18,$75.000,E,303
203,1974,Johannesburg-2,1974-11-18,$100.000,D,426
204,1974,Adelaide,1974-12-02,,Not ranked,7308
205,1974,Masters,1974-12-10,,Not ranked,605
206,1974,Sydney-3,1974-12-16,,Not ranked,9212
207,1975,Australian Open,1974-12-26,$51.000,D,580
208,1975,Auckland,1975-01-06,,Not ranked,301
209,1975,Bahamas,1975-01-13,$25.000,F,2021
210,1975,Baltimore,1975-01-13,$30.000,F,816
211,1975,San Juan WCT,1975-01-13,,Not ranked,9208
212,1975,Birmingham,1975-01-20,$25.000,F,650
213,1975,Philadelphia WCT,1975-01-20,$115.000,C,401
214,1975,Richmond WCT,1975-01-27,$60.000,E,802
215,1975,Dayton,1975-01-28,$30.000,F,716
216,1975,Roanoke,1975-01-29,$25.000,F,2022
217,1975,Basel,1975-02-03,$25.000,F,328
218,1975,Little Rock,1975-02-03,$25.000,F,660
219,1975,St Petersburg WCT,1975-02-03,$60.000,E,
220,1975,Bologna WCT,1975-02-06,$60.000,E,312
221,1975,Salisbury,1975-02-10,$50.000,E,355
222,1975,Toronto WCT,1975-02-10,$60.000,E,302
223,1975,Algiers,1975-02-17,,Not ranked,9207
224,1975,Barcelona WCT,1975-02-17,$60.000,E,267
225,1975,Boca Raton,1975-02-17,$37.500,F,718
226,1975,Carlsbad WCT,1975-02-17,$60.000,E,813
227,1975,Fort Worth WCT,1975-02-17,$60.000,E,653
228,1975,Rotterdam WCT,1975-02-24,$60.000,E,407
229,1975,San Antonio WCT,1975-02-24,$60.000,E,1602
230,1975,Fairfield,1975-02-25,$25.000,F,2023
231,1975,Cairo,1975-03-03,$25.000,F,206
232,1975,London WCT,1975-03-04,,Not ranked,262
233,1975,Dusseldorf-1,1975-03-10,$25.000,F,9209
234,1975,Munich WCT,1975-03-10,$60.000,E,804
235,1975,Sao Paulo WCT,1975-03-10,$60.000,E,237
236,1975,Washingtom WCT,1975-03-10,$60.000,E,
237,1975,Hampton,1975-03-11,$37.500,E,657
238,1975,Caracas WCT,1975-03-17,$60.000,E,344
239,1975,Memphis WCT,1975-03-17,$60.000,E,7299
240,1975,New York,1975-03-17,$25.000,F,2025
241,1975,Monte-Carlo WCT,1975-03-23,$60.000,E,410
242,1975,Atlanta WCT,1975-03-24,$60.000,E,412
243,1975,Orlando WCT,1975-03-24,$60.000,E,409
244,1975,Jackson,1975-03-26,$35.000,F,656
245,1975,Tucson,1975-03-31,$175.000,B,729
246,1975,Barcelona-2,1975-04-07,$30.000,F,278
247,1975,St. Louis WCT,1975-04-07,$60.000,E,652
248,1975,Johannesburg WCT,1975-04-11,$60.000,E,9239
249,1975,Denver WCT,1975-04-14,$60.000,E,389
250,1975,Tokyo WCT,1975-04-14,$60.000,E,9037
251,1975,Valencia,1975-04-14,$30.000,F,659
252,1975,Charlotte WCT,1975-04-21,$60.000,E,436
253,1975,Houston WCT,1975-04-21,$60.000,E,405
254,1975,Madrid-1,1975-04-21,$30.000,F,2026
255,1975,Stockholm WCT,1975-04-21,$60.000,E,666
256,1975,Nice,1975-04-28,$30.000,F,6120
257,1975,Florence,1975-05-05,$30.000,F,310
258,1975,Munich-2,1975-05-05,$50.000,E,308
259,1975,WCT Finals,1975-05-07,,Not ranked,610
260,1975,Bournemouth,1975-05-12,$50.000,E,347
261,1975,Las Vegas,1975-05-12,$150.000,B,413
262,1975,Hamburg,1975-05-19,$100.000,C,414
263,1975,Dusseldorf-2,1975-05-26,$50.000,E,661
264,1975,Rome,1975-05-26,$95.000,C,416
265,1975,Roland Garros,1975-06-04,$155.000,A,520
266,1975,Nottingham,1975-06-16,$100.000,C,350
267,1975,Wimbledon,1975-06-23,$165.000,A,540
268,1975,Bastad,1975-07-07,$50.000,E,316
269,1975,Gstaad,1975-07-07,$50.000,E,314
270,1975,Kitzbuhel,1975-07-07,$50.000,E,319
271,1975,Chicago,1975-07-14,$50.000,E,411
272,1975,Hilversum,1975-07-14,$50.000,E,317
273,1975,Istanbul,1975-07-14,$25.000,F,2027
274,1975,Washington-2,1975-07-21,$100.000,C,418
275,1975,Cincinnati,1975-07-28,$50.000,E,422
276,1975,Louisville,1975-07-28,$100.000,C,663
277,1975,Indianapolis,1975-08-04,$100.000,C,717
278,1975,North Conway,1975-08-04,$100.000,C,705
279,1975,Toronto-2,1975-08-11,$100.000,C,421
280,1975,Columbus,1975-08-12,$50.000,E,343
281,1975,Boston,1975-08-18,$100.000,C,417
282,1975,South Orange,1975-08-18,$50.000,E,707
283,1975,US Open,1975-08-27,$166.000,A,560
284,1975,Bermuda,1975-09-15,$50.000,E,2014
285,1975,Los Angeles,1975-09-15,$100.000,C,423
286,1975,San Francisco,1975-09-22,$100.000,C,424
287,1975,Aviles,1975-09-29,$25.000,F,2028
288,1975,Maui,1975-09-29,$50.000,E,324
289,1975,Madrid-2,1975-10-06,$75.000,D,309
290,1975,Melbourne,1975-10-06,$50.000,E,9342
291,1975,Barcelona-3,1975-10-13,$75.000,D,425
292,1975,Sydney-1,1975-10-13,$100.000,C,427
293,1975,Perth,1975-10-20,$50.000,E,2859
294,1975,Teheran,1975-10-20,$100.000,C,
295,1975,Manila,1975-10-27,$75.000,D,362
296,1975,Paris,1975-10-27,$50.000,E,7302
297,1975,Stockholm-2,1975-11-03,$100.000,C,429
298,1975,Tokyo-2,1975-11-03,$100.000,C,329
299,1975,Buenos Aires,1975-11-10,$75.000,D,303
300,1975,Hong Kong,1975-11-10,$75.000,E,336
301,1975,London-2,1975-11-12,$30.000,D,2016
302,1975,Calcutta,1975-11-17,$50.000,E,680
303,1975,Johannesburg-2,1975-11-17,$95.000,C,426
304,1975,Masters,1975-11-30,,Not ranked,605
305,1975,Sydney-2,1975-12-15,,Not ranked,338
306,1976,Australian Open,1975-12-26,$75.000,D,580
307,1976,Auckland,1976-01-05,,Not ranked,301
308,1976,Monterrey WCT,1976-01-05,$64.000,E,345
309,1976,Columbus WCT,1976-01-07,$64.000,E,662
310,1976,Indianapolis WCT,1976-01-12,$64.000,E,664
311,1976,Atlanta WCT,1976-01-14,$64.000,E,412
312,1976,Baltimore,1976-01-20,$50.000,E,816
313,1976,Birmingham,1976-01-20,,Not ranked,650
314,1976,Philadelphia WCT,1976-01-26,$115.000,C,401
315,1976,Barcelona WCT,1976-02-02,$64.000,E,267
316,1976,Boca Raton,1976-02-02,,Not ranked,718
317,1976,Dayton,1976-02-04,$35.000,F,716
318,1976,Richmond WCT,1976-02-04,$64.000,E,802
319,1976,Lagos WCT,1976-02-10,$64.000,E,205
320,1976,Toronto WCT,1976-02-10,$64.000,E,302
321,1976,Salisbury,1976-02-14,,Not ranked,355
322,1976,Rome WCT,1976-02-17,$64.000,E,665
323,1976,St Louis WCT,1976-02-16,$64.000,E,
324,1976,Rotterdam WCT,1976-02-23,$64.000,E,407
325,1976,Fort Worth WCT,1976-02-24,$64.000,E,653
326,1976,Basel,1976-03-01,$30.000,F,328
327,1976,Little Rock,1976-03-01,,Not ranked,660
328,1976,Nuremberg,1976-03-08,$25.000,F,658
329,1976,Memphis WCT,1976-03-09,$64.000,E,402
330,1976,Mexico City WCT,1976-03-09,$64.000,E,295
331,1976,Hampton,1976-03-10,,Not ranked,657
332,1976,Washington WCT,1976-03-15,$64.000,E,9211
333,1976,Carlsbad,1976-03-16,,Not ranked,813
334,1976,Jackson WCT,1976-03-17,$64.000,E,656
335,1976,Palm Springs,1976-03-22,$200.000,B,404
336,1976,Valencia,1976-03-22,$30.000,F,659
337,1976,Barcelona-2,1976-03-29,$30.000,F,278
338,1976,Sao Paulo WCT,1976-03-29,$64.000,E,237
339,1976,Caracas WCT,1976-03-30,$64.000,E,344
340,1976,Nice,1976-04-04,$30.000,F,6120
341,1976,Houston WCT,1976-04-05,$64.000,E,405
342,1976,Johannesburg WCT,1976-04-05,$64.000,E,9239
343,1976,Monte-Carlo WCT,1976-04-12,$64.000,E,410
344,1976,Palma,1976-04-12,$30.000,F,655
345,1976,Charlotte WCT,1976-04-13,$64.000,E,436
346,1976,USA Circuit 1,1976-04-12,$17.500,nan,
347,1976,Denver WCT,1976-04-19,$64.000,E,389
348,1976,Madrid-1,1976-04-19,$30.000,F,309
349,1976,Stockholm WCT,1976-04-19,$64.000,E,666
350,1976,Sacramento,1976-04-22,$25.000,F,654
351,1976,Florence,1976-05-03,$30.000,F,310
352,1976,Munich,1976-05-04,$50.000,E,308
353,1976,WCT Finals,1976-05-04,,Not ranked,610
354,1976,Bournemouth,1976-05-10,$75.000,D,347
355,1976,Las Vegas,1976-05-10,$150.000,B,413
356,1976,Hamburg,1976-05-17,$100.000,C,414
357,1976,Rome-2,1976-05-23,$150.000,B,416
358,1976,WCT Challenge Cup,1976-05-23,,Not ranked,3935
359,1976,Dusseldorf,1976-05-24,$75.000,D,661
360,1976,Roland Garros,1976-05-31,$177.000,AA,520
361,1976,USA Circuit 2,1976-06-07,$20.000,nan,
362,1976,Berlin,1976-06-14,$50.000,E,9240
363,1976,Nottingham,1976-06-14,$100.000,C,350
364,1976,Wimbledon,1976-06-21,$160.000,AA,540
365,1976,Bastad,1976-07-05,$100.000,C,316
366,1976,Gstaad,1976-07-05,$75.000,D,314
367,1976,Pepsi Grand Slam,1976-07-09,,Not ranked,1725
368,1976,Cincinnati,1976-07-12,$100.000,C,422
369,1976,Kitzbuhel,1976-07-12,$75.000,D,319
370,1976,Hilversum,1976-07-13,$50.000,E,317
371,1976,Washington-2,1976-07-19,$125.000,B,418
372,1976,Louisville,1976-07-26,$125.000,B,663
373,1976,North Conway,1976-08-01,$100.000,C,705
374,1976,Columbus-2,1976-08-02,$87.500,D,343
375,1976,Indianapolis-2,1976-08-09,$125.000,B,717
376,1976,Toronto-2,1976-08-16,$125.000,B,421
377,1976,Boston,1976-08-23,$125.000,B,417
378,1976,South Orange,1976-08-23,$50.000,E,707
379,1976,US Open,1976-09-01,$214.000,AA,560
380,1976,Bermuda,1976-09-13,$50.000,E,2014
381,1976,Newport,1976-09-16,$35.000,F,315
382,1976,Los Angeles,1976-09-20,$125.000,B,423
383,1976,France Circuit,1976-09-20,$37.500,nan,
384,1976,San Francisco,1976-09-27,$125.000,B,424
385,1976,Aviles,1976-10-04,$35.000,F,2028
386,1976,Maui,1976-10-04,$100.000,C,324
387,1976,Teheran,1976-10-04,$150.000,A,
388,1976,Brisbane,1976-10-11,$50.000,E,326
389,1976,Madrid-2,1976-10-11,$100.000,C,2015
390,1976,Barcelona-3,1976-10-18,$100.000,C,425
391,1976,Sydney-1,1976-10-18,$125.000,B,427
392,1976,Paris,1976-10-25,$50.000,E,7302
393,1976,Perth,1976-10-25,$50.000,E,2859
394,1976,Vienna,1976-10-25,$50.000,E,337
395,1976,Cologne,1976-11-01,$50.000,E,332
396,1976,Tokyo,1976-11-01,$75.000,D,329
397,1976,London,1976-11-02,$100.000,C,2016
398,1976,Hong Kong,1976-11-08,$75.000,D,336
399,1976,Stockholm-2,1976-11-08,$150.000,A,429
400,1976,Manila,1976-11-15,$75.000,D,362
401,1976,Sao Paulo-2,1976-11-15,$50.000,E,240
