round,match_id,section,player_1,player_2
R1,R1-01,Positions 02,Sebastian Baez,Stan Wawrinka
R1,R1-02,Positions 03,Tomas Martin Etcheverry,Grigor Dimitrov
R1,R1-03,Positions 04,Terence Atmane,Frances Tiafoe
R1,R1-04,Positions 05,Jiri Lehecka,Qualifier
R1,R1-05,Positions 06,Marton Fucsovics,Alejandro Tabilo
R1,R1-06,Positions 07,Gael Monfils,Tallon Griekspoor
R1,R1-07,Positions 10,Valentin Vacherot,Kamil Majchrzak
R1,R1-08,Positions 11,Jakub Mensik,Fabian Marozsan
R1,R1-09,Positions 12,Hubert Hurkacz,Luciano Darderi
R1,R1-10,Positions 13,Flavio Cobolli,Qualifier
R1,R1-11,Positions 14,Denis Shapovalov,Qualifier
R1,R1-12,Positions 15,Cameron Norrie,Miomir Kecmanovic
R1,R1-13,Positions 18,Qualifier,Matteo Berrettini
R1,R1-14,Positions 19,Joao Fonseca,Gabriel Diallo
R1,R1-15,Positions 20,Arthur Rinderknech,Karen Khachanov
R1,R1-16,Positions 21,Andrey Rublev,Nuno Borges
R1,R1-17,Positions 22,Zizou Bergs,Adrian Mannarino
R1,R1-18,Positions 23,Qualifier,Giovanni Mpetshi Perricard
R1,R1-19,Positions 26,Marin Cilic,Qualifier
R1,R1-20,Positions 27,Corentin Moutet,Qualifier
R1,R1-21,Positions 28,Alexei Popyrin,Casper Ruud
R1,R1-22,Positions 29,Francisco Cerundolo,Stefanos Tsitsipas
R1,R1-23,Positions 30,Daniel Altmaier,Tomas Machac
R1,R1-24,Positions 31,Moise Kouame,Ugo Humbert
R2,R2-01,Block 01,Carlos Alcaraz,Sebastian Baez
R2,R2-01,Block 01,Carlos Alcaraz,Stan Wawrinka
R2,R2-02,Block 02,Frances Tiafoe,Grigor Dimitrov
R2,R2-02,Block 02,Frances Tiafoe,Tomas Martin Etcheverry
R2,R2-02,Block 02,Grigor Dimitrov,Terence Atmane
R2,R2-02,Block 02,Terence Atmane,Tomas Martin Etcheverry
R2,R2-03,Block 03,Alejandro Tabilo,Jiri Lehecka
R2,R2-03,Block 03,Alejandro Tabilo,Qualifier
R2,R2-03,Block 03,Jiri Lehecka,Marton Fucsovics
R2,R2-03,Block 03,Marton Fucsovics,Qualifier
R2,R2-04,Block 04,Alexander Bublik,Gael Monfils
R2,R2-04,Block 04,Alexander Bublik,Tallon Griekspoor
R2,R2-05,Block 05,Kamil Majchrzak,Lorenzo Musetti
R2,R2-05,Block 05,Lorenzo Musetti,Valentin Vacherot
R2,R2-06,Block 06,Fabian Marozsan,Hubert Hurkacz
R2,R2-06,Block 06,Fabian Marozsan,Luciano Darderi
R2,R2-06,Block 06,Hubert Hurkacz,Jakub Mensik
R2,R2-06,Block 06,Jakub Mensik,Luciano Darderi
R2,R2-07,Block 07,Denis Shapovalov,Flavio Cobolli
R2,R2-07,Block 07,Denis Shapovalov,Qualifier
R2,R2-07,Block 07,Flavio Cobolli,Qualifier
R2,R2-08,Block 08,Alex de Minaur,Cameron Norrie
R2,R2-08,Block 08,Alex de Minaur,Miomir Kecmanovic
R2,R2-09,Block 09,Daniil Medvedev,Matteo Berrettini
R2,R2-09,Block 09,Daniil Medvedev,Qualifier
R2,R2-10,Block 10,Arthur Rinderknech,Gabriel Diallo
R2,R2-10,Block 10,Arthur Rinderknech,Joao Fonseca
R2,R2-10,Block 10,Gabriel Diallo,Karen Khachanov
R2,R2-10,Block 10,Joao Fonseca,Karen Khachanov
R2,R2-11,Block 11,Adrian Mannarino,Andrey Rublev
R2,R2-11,Block 11,Adrian Mannarino,Nuno Borges
R2,R2-11,Block 11,Andrey Rublev,Zizou Bergs
R2,R2-11,Block 11,Nuno Borges,Zizou Bergs
