player1,player2
Alejandro Davidovich Fokina,Alexei Popyrin
Alejandro Davidovich Fokina,Ben Shelton
Alejandro Davidovich Fokina,Carlos Alcaraz
Alejandro Davidovich Fokina,Jack Draper
Alejandro Davidovich Fokina,Tomas Martin Etcheverry
Alejandro Tabilo,Grigor Dimitrov
Alejandro Tabilo,Novak Djokovic
Alejandro Tabilo,Stan Wawrinka
Alex de Minaur,Daniil Medvedev
Alex de Minaur,Grigor Dimitrov
Alex de Minaur,Lorenzo Musetti
Alex de Minaur,Tomas Machac
Alexander Zverev,Matteo Berrettini
Alexandre Muller,Camilo Ugo Carabelli
Alexandre Muller,Daniil Medvedev
Alexei Popyrin,Casper Ruud
Alexei Popyrin,Frances Tiafoe
Alexei Popyrin,Ugo Humbert
Andrey Rublev,Arthur Fils
Andrey Rublev,Gael Monfils
Arthur Fils,Carlos Alcaraz
Arthur Fils,Flavio Cobolli
Arthur Fils,Tallon Griekspoor
Brandon Nakashima,Roberto Bautista Agut
Carlos Alcaraz,Daniel Altmaier
Carlos Alcaraz,Francisco Cerundolo
Carlos Alcaraz,Lorenzo Musetti
Casper Ruud,Roberto Bautista Agut
Corentin Moutet,Tomas Martin Etcheverry
Daniel Altmaier,Felix Auger-Aliassime
Daniel Altmaier,Richard Gasquet
Daniil Medvedev,Karen Khachanov
Denis Shapovalov,Marcos Giron
Dusan Lajovic,Flavio Cobolli
Fabian Marozsan,Gael Monfils
Fabio Fognini,Francisco Cerundolo
Frances Tiafoe,Miomir Kecmanovic
Giovanni Mpetshi Perricard,Jordan Thompson
Grigor Dimitrov,Nicolas Jarry
Grigor Dimitrov,Valentin Vacherot
Holger Rune,Nuno Borges
Jack Draper,Marcos Giron
Jan-Lennard Struff,Valentin Vacherot
Jiri Lehecka,Lorenzo Musetti
Jiri Lehecka,Sebastian Korda
Jordan Thompson,Stefanos Tsitsipas
Lorenzo Musetti,Matteo Berrettini
Lorenzo Musetti,Stefanos Tsitsipas
Lorenzo Musetti,Yunchaokete Bu
Lorenzo Sonego,Pedro Martinez
Mariano Navone,Matteo Berrettini
Matteo Arnaldi,Richard Gasquet
Nuno Borges,Pedro Martinez
Nuno Borges,Stefanos Tsitsipas
Sebastian Baez,Tomas Machac
