slug,manualAllowlist
adam-walton,yes
adolfo-daniel-vallejo,no
adrian-mannarino,no
alejandro-davidovich-fokina,no
alejandro-tabilo,no
aleksandar-kovacevic,no
aleksandar-vukic,no
alex-de-minaur,no
alex-michelsen,no
alex-molcan,yes
alexander-blockx,no
alexander-bublik,no
alexander-shevchenko,no
alexander-zverev,yes
alexei-popyrin,no
andre-agassi,yes
andrey-rublev,no
andy-murray,yes
andy-roddick,yes
arthur-cazaux,no
arthur-fery,yes
arthur-fils,no
arthur-rinderknech,no
ben-shelton,no
benjamin-bonzi,yes
bjorn-borg,yes
boris-becker,yes
botic-van-de-zandschulp,no
brandon-nakashima,no
cameron-norrie,no
camilo-ugo-carabelli,no
carlos-alcaraz,yes
carlos-moya,yes
casper-ruud,no
corentin-moutet,no
damir-dzumhur,no
daniel-altmaier,no
daniel-merida,no
daniil-medvedev,yes
denis-shapovalov,no
dino-prizmic,no
eliot-spizzirri,no
emilio-nava,yes
ethan-quinn,no
fabian-marozsan,no
felix-auger-aliassime,no
flavio-cobolli,no
frances-tiafoe,no
francisco-cerundolo,no
gabriel-diallo,no
giovanni-mpetshi-perricard,no
hamad-medjedovic,no
holger-rune,no
hubert-hurkacz,no
ignacio-buse,no
ilie-nastase,yes
ivan-lendl,yes
jack-draper,no
jakub-mensik,no
james-duckworth,no
jan-lennard-struff,no
jannik-sinner,no
jaume-munar,no
jenson-brooksby,no
jim-courier,yes
jimmy-connors,yes
jiri-lehecka,no
joao-fonseca,no
john-mcenroe,yes
juan-carlos-ferrero,yes
juan-manuel-cerundolo,no
kamil-majchrzak,no
karen-khachanov,no
learner-tien,no
lleyton-hewitt,yes
lorenzo-musetti,no
lorenzo-sonego,no
luca-van-assche,no
luciano-darderi,no
marat-safin,yes
marco-trungelliti,no
marcos-giron,no
mariano-navone,no
marin-cilic,no
martin-landaluce,no
marton-fucsovics,no
mats-wilander,yes
matteo-arnaldi,yes
matteo-berrettini,no
mattia-bellucci,no
miomir-kecmanovic,no
nick-kyrgios,yes
novak-djokovic,yes
nuno-borges,no
pablo-carreno-busta,no
patrick-kypson,no
patrick-rafter,yes
pete-sampras,yes
quentin-halys,no
rafael-jodar,no
rafael-nadal,yes
raphael-collignon,no
reilly-opelka,no
rinky-hijikata,no
roger-federer,yes
roman-andres-burruchaga,no
roman-safiullin,yes
sebastian-baez,no
sebastian-korda,no
stefan-edberg,yes
stefanos-tsitsipas,no
tallon-griekspoor,no
taylor-fritz,no
terence-atmane,no
thiago-agustin-tirante,no
thomas-muster,yes
toby-samuel,yes
tomas-machac,no
tomas-martin-etcheverry,no
tommy-paul,no
ugo-humbert,no
valentin-royer,no
valentin-vacherot,no
vit-kopriva,no
yannick-hanfmann,no
yevgeny-kafelnikov,yes
yibing-wu,no
zachary-svajda,no
zizou-bergs,no
guillermo-vilas,yes
grigor-dimitrov,yes
jack-pinnington-jones,yes
