url,indexable,reason,p1_id,p1_name,p1_slug,p2_id,p2_name,p2_slug
https://stats.tennismylife.org/h2h/carlos-alcaraz-vs-daniil-medvedev,true,both_active,A0E2,Carlos Alcaraz,carlos-alcaraz,MM58,Daniil Medvedev,daniil-medvedev
https://stats.tennismylife.org/h2h/carlos-alcaraz-vs-sebastian-korda,true,both_active,A0E2,Carlos Alcaraz,carlos-alcaraz,K0AH,Sebastian Korda,sebastian-korda
https://stats.tennismylife.org/h2h/alex-michelsen-vs-jannik-sinner,true,both_active,M0QI,Alex Michelsen,alex-michelsen,S0AG,Jannik Sinner,jannik-sinner
https://stats.tennismylife.org/h2h/jannik-sinner-vs-jiri-lehecka,true,both_active,S0AG,Jannik Sinner,jannik-sinner,L0BV,Jiri Lehecka,jiri-lehecka
https://stats.tennismylife.org/h2h/alexander-zverev-vs-jannik-sinner,true,both_active,Z355,Alexander Zverev,alexander-zverev,S0AG,Jannik Sinner,jannik-sinner
https://stats.tennismylife.org/h2h/arthur-fils-vs-tommy-paul,true,both_active,F0F1,Arthur Fils,arthur-fils,PL56,Tommy Paul,tommy-paul
https://stats.tennismylife.org/h2h/daniil-medvedev-vs-jannik-sinner,true,both_active,MM58,Daniil Medvedev,daniil-medvedev,S0AG,Jannik Sinner,jannik-sinner
https://stats.tennismylife.org/h2h/frances-tiafoe-vs-tommy-paul,true,both_active,TD51,Frances Tiafoe,frances-tiafoe,PL56,Tommy Paul,tommy-paul
https://stats.tennismylife.org/h2h/daniil-medvedev-vs-jack-draper,true,both_active,MM58,Daniil Medvedev,daniil-medvedev,D0CO,Jack Draper,jack-draper
https://stats.tennismylife.org/h2h/arthur-fils-vs-jannik-sinner,true,both_active,F0F1,Arthur Fils,arthur-fils,S0AG,Jannik Sinner,jannik-sinner
https://stats.tennismylife.org/h2h/joao-fonseca-vs-matteo-berrettini,true,both_active,F0FV,Joao Fonseca,joao-fonseca,BK40,Matteo Berrettini,matteo-berrettini
https://stats.tennismylife.org/h2h/frances-tiafoe-vs-jannik-sinner,true,both_active,TD51,Frances Tiafoe,frances-tiafoe,S0AG,Jannik Sinner,jannik-sinner
https://stats.tennismylife.org/h2h/alex-de-minaur-vs-alexander-blockx,true,both_active,DH58,Alex de Minaur,alex-de-minaur,B0PG,Alexander Blockx,alexander-blockx
https://stats.tennismylife.org/h2h/jiri-lehecka-vs-martin-landaluce,true,both_active,L0BV,Jiri Lehecka,jiri-lehecka,L0IL,Martin Landaluce,martin-landaluce
https://stats.tennismylife.org/h2h/alexander-bublik-vs-matteo-berrettini,true,both_active,BK92,Alexander Bublik,alexander-bublik,BK40,Matteo Berrettini,matteo-berrettini
https://stats.tennismylife.org/h2h/jannik-sinner-vs-learner-tien,true,both_active,S0AG,Jannik Sinner,jannik-sinner,T0HA,Learner Tien,learner-tien
https://stats.tennismylife.org/h2h/alexander-zverev-vs-matteo-berrettini,true,both_active,Z355,Alexander Zverev,alexander-zverev,BK40,Matteo Berrettini,matteo-berrettini
https://stats.tennismylife.org/h2h/matteo-berrettini-vs-valentin-vacherot,true,both_active,BK40,Matteo Berrettini,matteo-berrettini,VA25,Valentin Vacherot,valentin-vacherot
https://stats.tennismylife.org/h2h/jack-draper-vs-novak-djokovic,true,both_active,D0CO,Jack Draper,jack-draper,D643,Novak Djokovic,novak-djokovic
https://stats.tennismylife.org/h2h/corentin-moutet-vs-jannik-sinner,true,both_active,MW02,Corentin Moutet,corentin-moutet,S0AG,Jannik Sinner,jannik-sinner
https://stats.tennismylife.org/h2h/jack-draper-vs-reilly-opelka,true,both_active,D0CO,Jack Draper,jack-draper,O522,Reilly Opelka,reilly-opelka
https://stats.tennismylife.org/h2h/damir-dzumhur-vs-jannik-sinner,true,both_active,D923,Damir Dzumhur,damir-dzumhur,S0AG,Jannik Sinner,jannik-sinner
https://stats.tennismylife.org/h2h/damir-dzumhur-vs-ignacio-buse,true,both_active,D923,Damir Dzumhur,damir-dzumhur,B0ID,Ignacio Buse,ignacio-buse
https://stats.tennismylife.org/h2h/carlos-alcaraz-vs-jannik-sinner,true,both_active,A0E2,Carlos Alcaraz,carlos-alcaraz,S0AG,Jannik Sinner,jannik-sinner
https://stats.tennismylife.org/h2h/jannik-sinner-vs-joao-fonseca,true,both_active,S0AG,Jannik Sinner,jannik-sinner,F0FV,Joao Fonseca,joao-fonseca
https://stats.tennismylife.org/h2h/ben-shelton-vs-reilly-opelka,true,both_active,S0S1,Ben Shelton,ben-shelton,O522,Reilly Opelka,reilly-opelka
https://stats.tennismylife.org/h2h/arthur-fils-vs-andrey-rublev,true,both_active,F0F1,Arthur Fils,arthur-fils,RE44,Andrey Rublev,andrey-rublev
https://stats.tennismylife.org/h2h/alex-de-minaur-vs-valentin-vacherot,true,both_active,DH58,Alex de Minaur,alex-de-minaur,VA25,Valentin Vacherot,valentin-vacherot
https://stats.tennismylife.org/h2h/martin-landaluce-vs-sebastian-korda,true,both_active,L0IL,Martin Landaluce,martin-landaluce,K0AH,Sebastian Korda,sebastian-korda
https://stats.tennismylife.org/h2h/daniil-medvedev-vs-rei-sakamoto,true,both_active,MM58,Daniil Medvedev,daniil-medvedev,S0UV,Rei Sakamoto,rei-sakamoto
https://stats.tennismylife.org/h2h/alexander-zverev-vs-cristian-garin,true,both_active,Z355,Alexander Zverev,alexander-zverev,GD64,Cristian Garin,cristian-garin
https://stats.tennismylife.org/h2h/ben-shelton-vs-joao-fonseca,true,both_active,S0S1,Ben Shelton,ben-shelton,F0FV,Joao Fonseca,joao-fonseca
https://stats.tennismylife.org/h2h/felix-auger-aliassime-vs-gael-monfils,true,both_active,AG37,Felix Auger-Aliassime,felix-auger-aliassime,MC65,Gael Monfils,gael-monfils
https://stats.tennismylife.org/h2h/arthur-fils-vs-rafael-jodar,true,both_active,F0F1,Arthur Fils,arthur-fils,J0DZ,Rafael Jodar,rafael-jodar
https://stats.tennismylife.org/h2h/carlos-alcaraz-vs-sebastian-baez,true,both_active,A0E2,Carlos Alcaraz,carlos-alcaraz,B0BI,Sebastian Baez,sebastian-baez
https://stats.tennismylife.org/h2h/bjorn-borg-vs-john-mcenroe,true,direct_h2h_and_top20,B058,Bjorn Borg,bjorn-borg,M047,John McEnroe,john-mcenroe
https://stats.tennismylife.org/h2h/jannik-sinner-vs-ugo-humbert,true,both_active,S0AG,Jannik Sinner,jannik-sinner,HH26,Ugo Humbert,ugo-humbert
https://stats.tennismylife.org/h2h/adam-walton-vs-jakub-mensik,true,both_active,W09E,Adam Walton,adam-walton,M0NI,Jakub Mensik,jakub-mensik
