date,rankingDateId,rank,points,days_diff
2006-07-24,1720,28,1071,
2006-07-31,1721,24,1176,7
2006-08-07,1722,23,1176,7
2006-08-14,1723,24,1168,7
2006-08-21,1724,23,1183,7
2006-08-28,1725,23,1183,7
2006-09-04,1726,23,1183,7
2006-09-11,1727,21,1183,7
2006-09-18,1728,21,1183,7
2006-09-25,1729,21,1183,7
2006-10-02,1730,22,1183,7
2006-10-09,1731,16,1350,7
2006-10-16,1732,17,1360,7
2006-10-23,1733,16,1465,7
2006-10-30,1734,16,1465,7
2006-11-06,1735,16,1380,7
2006-11-13,1736,16,1380,7
2006-11-20,1737,16,1380,7
2006-11-27,1738,16,1380,7
2006-12-04,1739,16,1380,7
2006-12-11,1740,16,1380,7
2006-12-18,1741,16,1380,7
2006-12-25,1742,16,1380,7
2007-01-01,1743,16,1380,7
2007-01-08,1744,14,1530,7
2007-01-15,1745,15,1530,7
2007-01-22,1746,15,1530,7
2007-01-29,1747,13,1675,7
2007-02-05,1748,14,1625,7
2007-02-12,1749,14,1625,7
2007-02-19,1750,14,1625,7
2007-02-26,1751,14,1665,7
2007-03-05,1752,13,1715,7
2007-03-12,1753,13,1715,7
2007-03-19,1754,10,2060,7
2007-03-26,1755,10,2060,7
2007-04-02,1756,7,2540,7
2007-04-09,1757,7,2540,7
2007-04-16,1758,7,2540,7
2007-04-23,1759,6,2595,7
2007-04-30,1760,5,2595,7
2007-05-07,1761,5,2720,7
2007-05-14,1762,6,2735,7
2007-05-21,1763,6,2810,7
2007-05-28,1764,6,2810,7
2007-06-04,1765,6,2810,7
2007-06-11,1766,4,3010,7
2007-06-18,1767,5,3010,7
2007-06-25,1768,5,3010,7
2007-07-02,1769,5,3010,7
2007-07-09,1770,3,3310,7
2007-07-16,1771,3,3310,7
2007-07-23,1772,3,3245,7
2007-07-30,1773,3,3200,7
2007-08-06,1774,4,3200,7
2007-08-13,1775,3,3700,7
2007-08-20,1776,3,3670,7
2007-08-27,1777,3,3670,7
2007-09-03,1778,3,3670,7
2007-09-10,1779,3,4295,7
2007-09-17,1780,3,4295,7
2007-09-24,1781,3,4295,7
2007-10-01,1782,3,4295,7
2007-10-08,1783,3,4145,7
2007-10-15,1784,3,4370,7
2007-10-22,1785,3,4470,7
2007-10-29,1786,3,4470,7
2007-11-05,1787,3,4470,7
2007-11-12,1788,3,4470,7
2007-11-19,1789,3,4470,7
2007-11-26,1790,3,4470,7
2007-12-03,1791,3,4470,7
2007-12-10,1792,3,4470,7
2007-12-17,1793,3,4470,7
2007-12-24,1794,3,4470,7
2007-12-31,1795,3,4470,7
2008-01-07,1796,3,4315,7
2008-01-14,1797,3,4315,7
2008-01-21,1798,3,4315,7
2008-01-28,1799,3,5165,7
2008-02-04,1800,3,5165,7
2008-02-11,1801,3,5165,7
2008-02-18,1802,3,5165,7
2008-02-25,1803,3,5070,7
2008-03-03,1804,3,5010,7
2008-03-10,1805,3,5130,7
2008-03-17,1806,3,5130,7
2008-03-24,1807,3,5280,7
2008-03-31,1808,3,5280,7
2008-04-07,1809,3,4785,7
2008-04-14,1810,3,4785,7
2008-04-21,1811,3,4725,7
2008-04-28,1812,3,4935,7
2008-05-05,1813,3,4750,7
2008-05-12,1814,3,5125,7
2008-05-19,1815,3,5225,7
2008-05-26,1816,3,5225,7
2008-06-02,1817,3,5225,7
2008-06-09,1818,3,5225,7
2008-06-16,1819,3,5360,7
2008-06-23,1820,3,5360,7
2008-06-30,1821,3,5360,7
2008-07-07,1822,3,4945,7
2008-07-14,1823,3,4945,7
2008-07-21,1824,3,4945,7
2008-07-28,1825,3,5055,7
2008-08-04,1826,3,5390,7
2008-08-11,1827,3,4905,7
2008-08-18,1828,3,5105,7
2008-08-25,1829,3,5105,7
