player1_id,player1_name,player1_slug,player2_id,player2_name,player2_slug,match_count,url
G0M3,"Aaron Gil Garcia",aaron-gil-garcia,GD64,"Cristian Garin",cristian-garin,1,/h2h/aaron-gil-garcia-vs-cristian-garin
K023,"Aaron Krickstein",aaron-krickstein,V037,"Alexander Volkov",alexander-volkov,6,/h2h/aaron-krickstein-vs-alexander-volkov
K023,"Aaron Krickstein",aaron-krickstein,M012,"Amos Mansdorf",amos-mansdorf,8,/h2h/aaron-krickstein-vs-amos-mansdorf
K023,"Aaron Krickstein",aaron-krickstein,M475,"Andrei Medvedev",andrei-medvedev,1,/h2h/aaron-krickstein-vs-andrei-medvedev
K023,"Aaron Krickstein",aaron-krickstein,S080,"Carl-Uwe Steeb",carl-uwe-steeb,7,/h2h/aaron-krickstein-vs-carl-uwe-steeb
K023,"Aaron Krickstein",aaron-krickstein,P226,"Cedric Pioline",cedric-pioline,1,/h2h/aaron-krickstein-vs-cedric-pioline
K023,"Aaron Krickstein",aaron-krickstein,V014,"Christo Van Rensburg",christo-van-rensburg,3,/h2h/aaron-krickstein-vs-christo-van-rensburg
K023,"Aaron Krickstein",aaron-krickstein,P012,"David Pate",david-pate,5,/h2h/aaron-krickstein-vs-david-pate
K023,"Aaron Krickstein",aaron-krickstein,W123,"David Wheaton",david-wheaton,4,/h2h/aaron-krickstein-vs-david-wheaton
K023,"Aaron Krickstein",aaron-krickstein,R043,"Derrick Rostagno",derrick-rostagno,1,/h2h/aaron-krickstein-vs-derrick-rostagno
K023,"Aaron Krickstein",aaron-krickstein,S090,"Dick Stockton",dick-stockton,1,/h2h/aaron-krickstein-vs-dick-stockton
K023,"Aaron Krickstein",aaron-krickstein,T012,"Eliot Teltscher",eliot-teltscher,4,/h2h/aaron-krickstein-vs-eliot-teltscher
K023,"Aaron Krickstein",aaron-krickstein,S014,"Emilio Sanchez",emilio-sanchez,3,/h2h/aaron-krickstein-vs-emilio-sanchez
K023,"Aaron Krickstein",aaron-krickstein,S424,"Fabrice Santoro",fabrice-santoro,2,/h2h/aaron-krickstein-vs-fabrice-santoro
K023,"Aaron Krickstein",aaron-krickstein,P050,"Goran Prpic",goran-prpic,4,/h2h/aaron-krickstein-vs-goran-prpic
K023,"Aaron Krickstein",aaron-krickstein,R237,"Greg Rusedski",greg-rusedski,2,/h2h/aaron-krickstein-vs-greg-rusedski
K023,"Aaron Krickstein",aaron-krickstein,P190,"Guillermo Perez-Roldan",guillermo-perez-roldan,1,/h2h/aaron-krickstein-vs-guillermo-perez-roldan
K023,"Aaron Krickstein",aaron-krickstein,V028,"Guillermo Vilas",guillermo-vilas,4,/h2h/aaron-krickstein-vs-guillermo-vilas
K023,"Aaron Krickstein",aaron-krickstein,L014,"Henri Leconte",henri-leconte,5,/h2h/aaron-krickstein-vs-henri-leconte
K023,"Aaron Krickstein",aaron-krickstein,S097,"Henrik Sundstrom",henrik-sundstrom,4,/h2h/aaron-krickstein-vs-henrik-sundstrom
K023,"Aaron Krickstein",aaron-krickstein,L018,"Ivan Lendl",ivan-lendl,8,/h2h/aaron-krickstein-vs-ivan-lendl
K023,"Aaron Krickstein",aaron-krickstein,Y017,"Jaime Yzaga",jaime-yzaga,9,/h2h/aaron-krickstein-vs-jaime-yzaga
K023,"Aaron Krickstein",aaron-krickstein,S381,"Jan Siemerink",jan-siemerink,1,/h2h/aaron-krickstein-vs-jan-siemerink
K023,"Aaron Krickstein",aaron-krickstein,S331,"Jason Stoltenberg",jason-stoltenberg,4,/h2h/aaron-krickstein-vs-jason-stoltenberg
K023,"Aaron Krickstein",aaron-krickstein,N254,"Jiri Novak",jiri-novak,1,/h2h/aaron-krickstein-vs-jiri-novak
K023,"Aaron Krickstein",aaron-krickstein,N030,"Joakim Nystrom",joakim-nystrom,2,/h2h/aaron-krickstein-vs-joakim-nystrom
K023,"Aaron Krickstein",aaron-krickstein,M047,"John McEnroe",john-mcenroe,5,/h2h/aaron-krickstein-vs-john-mcenroe
K023,"Aaron Krickstein",aaron-krickstein,N025,"Karel Novacek",karel-novacek,5,/h2h/aaron-krickstein-vs-karel-novacek
K023,"Aaron Krickstein",aaron-krickstein,K237,"Karol Kucera",karol-kucera,1,/h2h/aaron-krickstein-vs-karol-kucera
K023,"Aaron Krickstein",aaron-krickstein,W124,"MaliVai Washington",malivai-washington,4,/h2h/aaron-krickstein-vs-malivai-washington
K023,"Aaron Krickstein",aaron-krickstein,R214,"Marc Rosset",marc-rosset,3,/h2h/aaron-krickstein-vs-marc-rosset
K023,"Aaron Krickstein",aaron-krickstein,W035,"Mark Woodforde",mark-woodforde,3,/h2h/aaron-krickstein-vs-mark-woodforde
K023,"Aaron Krickstein",aaron-krickstein,W023,"Mats Wilander",mats-wilander,8,/h2h/aaron-krickstein-vs-mats-wilander
K023,"Aaron Krickstein",aaron-krickstein,P057,"Mel Purcell",mel-purcell,1,/h2h/aaron-krickstein-vs-mel-purcell
K023,"Aaron Krickstein",aaron-krickstein,S351,"Michael Stich",michael-stich,3,/h2h/aaron-krickstein-vs-michael-stich
K023,"Aaron Krickstein",aaron-krickstein,P024,"Mikael Pernfors",mikael-pernfors,4,/h2h/aaron-krickstein-vs-mikael-pernfors
K023,"Aaron Krickstein",aaron-krickstein,R255,"Patrick Rafter",patrick-rafter,1,/h2h/aaron-krickstein-vs-patrick-rafter
K023,"Aaron Krickstein",aaron-krickstein,S402,"Pete Sampras",pete-sampras,6,/h2h/aaron-krickstein-vs-pete-sampras
K023,"Aaron Krickstein",aaron-krickstein,K148,"Petr Korda",petr-korda,7,/h2h/aaron-krickstein-vs-petr-korda
K023,"Aaron Krickstein",aaron-krickstein,R016,"Richey Reneberg",richey-reneberg,6,/h2h/aaron-krickstein-vs-richey-reneberg
K023,"Aaron Krickstein",aaron-krickstein,Z006,"Slobodan Zivojinovic",slobodan-zivojinovic,2,/h2h/aaron-krickstein-vs-slobodan-zivojinovic
K023,"Aaron Krickstein",aaron-krickstein,T032,"Thierry Tulasne",thierry-tulasne,3,/h2h/aaron-krickstein-vs-thierry-tulasne
K023,"Aaron Krickstein",aaron-krickstein,M099,"Thomas Muster",thomas-muster,5,/h2h/aaron-krickstein-vs-thomas-muster
K023,"Aaron Krickstein",aaron-krickstein,M041,"Tim Mayotte",tim-mayotte,3,/h2h/aaron-krickstein-vs-tim-mayotte
K023,"Aaron Krickstein",aaron-krickstein,M442,"Todd Martin",todd-martin,3,/h2h/aaron-krickstein-vs-todd-martin
K023,"Aaron Krickstein",aaron-krickstein,W136,"Todd Woodbridge",todd-woodbridge,2,/h2h/aaron-krickstein-vs-todd-woodbridge
K023,"Aaron Krickstein",aaron-krickstein,S058,"Tomas Smid",tomas-smid,2,/h2h/aaron-krickstein-vs-tomas-smid
K023,"Aaron Krickstein",aaron-krickstein,P015,"Victor Pecci",victor-pecci,1,/h2h/aaron-krickstein-vs-victor-pecci
K023,"Aaron Krickstein",aaron-krickstein,S544,"Vincent Spadea",vincent-spadea,2,/h2h/aaron-krickstein-vs-vincent-spadea
K023,"Aaron Krickstein",aaron-krickstein,M030,"Wally Masur",wally-masur,3,/h2h/aaron-krickstein-vs-wally-masur
K023,"Aaron Krickstein",aaron-krickstein,N022,"Yannick Noah",yannick-noah,6,/h2h/aaron-krickstein-vs-yannick-noah
K023,"Aaron Krickstein",aaron-krickstein,K267,"Yevgeny Kafelnikov",yevgeny-kafelnikov,1,/h2h/aaron-krickstein-vs-yevgeny-kafelnikov
W09E,"Adam Walton",adam-walton,Z355,"Alexander Zverev",alexander-zverev,1,/h2h/adam-walton-vs-alexander-zverev
A0AB,"Adrian Andreev",adrian-andreev,DH58,"Alex de Minaur",alex-de-minaur,1,/h2h/adrian-andreev-vs-alex-de-minaur
A0AB,"Adrian Andreev",adrian-andreev,P09Z,"Alexei Popyrin",alexei-popyrin,1,/h2h/adrian-andreev-vs-alexei-popyrin
ME82,"Adrian Mannarino",adrian-mannarino,R772,"Albert Ramos-Vinolas",albert-ramos-vinolas,10,/h2h/adrian-mannarino-vs-albert-ramos-vinolas
ME82,"Adrian Mannarino",adrian-mannarino,V832,"Aleksandar Vukic",aleksandar-vukic,2,/h2h/adrian-mannarino-vs-aleksandar-vukic
ME82,"Adrian Mannarino",adrian-mannarino,S0H2,"Alexander Shevchenko",alexander-shevchenko,1,/h2h/adrian-mannarino-vs-alexander-shevchenko
ME82,"Adrian Mannarino",adrian-mannarino,Z355,"Alexander Zverev",alexander-zverev,9,/h2h/adrian-mannarino-vs-alexander-zverev
ME82,"Adrian Mannarino",adrian-mannarino,P09Z,"Alexei Popyrin",alexei-popyrin,2,/h2h/adrian-mannarino-vs-alexei-popyrin
ME82,"Adrian Mannarino",adrian-mannarino,SA93,"Andreas Seppi",andreas-seppi,11,/h2h/adrian-mannarino-vs-andreas-seppi
ME82,"Adrian Mannarino",adrian-mannarino,RE44,"Andrey Rublev",andrey-rublev,5,/h2h/adrian-mannarino-vs-andrey-rublev
ME82,"Adrian Mannarino",adrian-mannarino,RC91,"Arthur Rinderknech",arthur-rinderknech,3,/h2h/adrian-mannarino-vs-arthur-rinderknech
ME82,"Adrian Mannarino",adrian-mannarino,S0S1,"Ben Shelton",ben-shelton,4,/h2h/adrian-mannarino-vs-ben-shelton
ME82,"Adrian Mannarino",adrian-mannarino,PD31,"Benoit Paire",benoit-paire,2,/h2h/adrian-mannarino-vs-benoit-paire
ME82,"Adrian Mannarino",adrian-mannarino,TA46,"Bernard Tomic",bernard-tomic,3,/h2h/adrian-mannarino-vs-bernard-tomic
ME82,"Adrian Mannarino",adrian-mannarino,V812,"Botic van de Zandschulp",botic-van-de-zandschulp,5,/h2h/adrian-mannarino-vs-botic-van-de-zandschulp
ME82,"Adrian Mannarino",adrian-mannarino,N0AE,"Brandon Nakashima",brandon-nakashima,3,/h2h/adrian-mannarino-vs-brandon-nakashima
ME82,"Adrian Mannarino",adrian-mannarino,N771,"Cameron Norrie",cameron-norrie,4,/h2h/adrian-mannarino-vs-cameron-norrie
ME82,"Adrian Mannarino",adrian-mannarino,RH16,"Casper Ruud",casper-ruud,2,/h2h/adrian-mannarino-vs-casper-ruud
ME82,"Adrian Mannarino",adrian-mannarino,O483,"Christopher O'Connell",christopher-oconnell,3,/h2h/adrian-mannarino-vs-christopher-oconnell
ME82,"Adrian Mannarino",adrian-mannarino,T0AP,"Chun-Hsin Tseng",chun-hsin-tseng,1,/h2h/adrian-mannarino-vs-chun-hsin-tseng
ME82,"Adrian Mannarino",adrian-mannarino,MW02,"Corentin Moutet",corentin-moutet,1,/h2h/adrian-mannarino-vs-corentin-moutet
ME82,"Adrian Mannarino",adrian-mannarino,MM58,"Daniil Medvedev",daniil-medvedev,9,/h2h/adrian-mannarino-vs-daniil-medvedev
ME82,"Adrian Mannarino",adrian-mannarino,SU55,"Denis Shapovalov",denis-shapovalov,3,/h2h/adrian-mannarino-vs-denis-shapovalov
ME82,"Adrian Mannarino",adrian-mannarino,SM37,"Diego Schwartzman",diego-schwartzman,2,/h2h/adrian-mannarino-vs-diego-schwartzman
ME82,"Adrian Mannarino",adrian-mannarino,T315,"Dmitry Tursunov",dmitry-tursunov,2,/h2h/adrian-mannarino-vs-dmitry-tursunov
ME82,"Adrian Mannarino",adrian-mannarino,S0LA,"Dominic Stricker",dominic-stricker,1,/h2h/adrian-mannarino-vs-dominic-stricker
ME82,"Adrian Mannarino",adrian-mannarino,TB69,"Dominic Thiem",dominic-thiem,10,/h2h/adrian-mannarino-vs-dominic-thiem
ME82,"Adrian Mannarino",adrian-mannarino,Y218,"Elias Ymer",elias-ymer,2,/h2h/adrian-mannarino-vs-elias-ymer
ME82,"Adrian Mannarino",adrian-mannarino,RH24,"Emil Ruusuvuori",emil-ruusuvuori,2,/h2h/adrian-mannarino-vs-emil-ruusuvuori
ME82,"Adrian Mannarino",adrian-mannarino,V306,"Fernando Verdasco",fernando-verdasco,5,/h2h/adrian-mannarino-vs-fernando-verdasco
ME82,"Adrian Mannarino",adrian-mannarino,TD51,"Frances Tiafoe",frances-tiafoe,3,/h2h/adrian-mannarino-vs-frances-tiafoe
ME82,"Adrian Mannarino",adrian-mannarino,SD32,"Gilles Simon",gilles-simon,3,/h2h/adrian-mannarino-vs-gilles-simon
ME82,"Adrian Mannarino",adrian-mannarino,Z0A1,"Giulio Zeppieri",giulio-zeppieri,1,/h2h/adrian-mannarino-vs-giulio-zeppieri
ME82,"Adrian Mannarino",adrian-mannarino,PC11,"Guido Pella",guido-pella,2,/h2h/adrian-mannarino-vs-guido-pella
ME82,"Adrian Mannarino",adrian-mannarino,R0DG,"Holger Rune",holger-rune,1,/h2h/adrian-mannarino-vs-holger-rune
ME82,"Adrian Mannarino",adrian-mannarino,SM25,"Jack Sock",jack-sock,6,/h2h/adrian-mannarino-vs-jack-sock
ME82,"Adrian Mannarino",adrian-mannarino,SL28,"Jan-Lennard Struff",jan-lennard-struff,1,/h2h/adrian-mannarino-vs-jan-lennard-struff
ME82,"Adrian Mannarino",adrian-mannarino,S0AG,"Jannik Sinner",jannik-sinner,4,/h2h/adrian-mannarino-vs-jannik-sinner
ME82,"Adrian Mannarino",adrian-mannarino,N289,"Jarkko Nieminen",jarkko-nieminen,1,/h2h/adrian-mannarino-vs-jarkko-nieminen
ME82,"Adrian Mannarino",adrian-mannarino,MU94,"Jaume Munar",jaume-munar,1,/h2h/adrian-mannarino-vs-jaume-munar
ME82,"Adrian Mannarino",adrian-mannarino,T786,"Jo-Wilfried Tsonga",jo-wilfried-tsonga,3,/h2h/adrian-mannarino-vs-jo-wilfried-tsonga
ME82,"Adrian Mannarino",adrian-mannarino,TC61,"Jordan Thompson",jordan-thompson,11,/h2h/adrian-mannarino-vs-jordan-thompson
