"url","title"
"https://localhost:3000/records/most-career-wins","Most Career Wins"
"https://localhost:3000/records/most-grand-slam-wins","Most Grand Slam Match Wins"
"https://localhost:3000/records/most-masters-1000-wins","Most Masters 1000 Match Wins"
"https://localhost:3000/records/most-wins-in-atp-finals","Most Wins in ATP Finals"
"https://localhost:3000/records/most-atp-250-wins","Most ATP 250 Match Wins"
"https://localhost:3000/records/most-atp-500-wins","Most ATP 500 Match Wins"
"https://localhost:3000/records/most-davis-cup-wins","Most Davis Cup Match Wins"
"https://localhost:3000/records/most-wins-on-hard-court","Most Wins on Hard Court"
"https://localhost:3000/records/most-wins-on-clay-court","Most Wins on Clay"
"https://localhost:3000/records/most-wins-on-grass-court","Most Wins on Grass"
"https://localhost:3000/records/most-wins-on-carpet-court","Most Wins on Carpet"
"https://localhost:3000/records/most-wins-in-quarter-finals","Most Wins in Quarter Finals"
"https://localhost:3000/records/most-wins-in-semi-finals","Most Wins in Semi Finals"
"https://localhost:3000/records/most-wins-in-finals","Most Wins in Finals"
"https://localhost:3000/records/most-wins-best-of-3","Most Wins Best of 3"
"https://localhost:3000/records/most-wins-best-of-5","Most Wins Best of 5"
"https://localhost:3000/records/most-wins-in-grand-slam-finals","Most Wins in Grand Slam Finals"
"https://localhost:3000/records/most-wins-in-grand-slam-semifinals","Most Wins in Grand Slam Semifinals"
"https://localhost:3000/records/most-wins-in-grand-slam-quarterfinals","Most Wins in Grand Slam Quarterfinals"
"https://localhost:3000/records/most-wins-in-masters-1000-quarterfinals","Most Wins in Masters 1000 Quarterfinals"
"https://localhost:3000/records/most-wins-in-masters-1000-semifinals","Most Wins in Masters 1000 Semifinals"
"https://localhost:3000/records/most-wins-in-masters-1000-finals","Most Wins in Masters 1000 Finals"
"https://localhost:3000/records/most-wins-at-roland-garros","Most Match Wins at Roland Garros"
"https://localhost:3000/records/most-wins-at-wimbledon","Most Match Wins at Wimbledon"
"https://localhost:3000/records/most-wins-grand-slams-on-hard","Most Match Wins at Hard Court Grand Slams"
"https://localhost:3000/records/most-wins-masters-1000-on-hard","Most Masters 1000 Match Wins on Hard Court"
"https://localhost:3000/records/most-wins-masters-1000-on-clay","Most Masters 1000 Match Wins on Clay Court"
"https://localhost:3000/records/most-wins-masters-1000-on-carpet","Most Masters 1000 Match Wins on Carpet Court"
"https://localhost:3000/records/most-masters-1000-clay-court-wins-best-of-3","Most Masters 1000 Clay Court Wins Best of 3"
"https://localhost:3000/records/most-masters-1000-hard-court-wins-best-of-3","Most Masters 1000 Hard Court Wins Best of 3"
"https://localhost:3000/records/most-masters-1000-carpet-court-wins-best-of-3","Most Masters 1000 Carpet Court Wins Best of 3"
"https://localhost:3000/records/most-matches-played","Most Matches Played"
"https://localhost:3000/records/most-grand-slam-matches-played","Most Matches Played at Grand Slams"
"https://localhost:3000/records/most-matches-played-at-masters-1000","Most Matches Played at Masters 1000"
"https://localhost:3000/records/most-matches-played-at-atp-finals","Most Matches Played at ATP Finals"
"https://localhost:3000/records/most-atp-250-matches-played","Most ATP 250 Matches Played"
"https://localhost:3000/records/most-atp-500-matches-played","Most ATP 500 Matches Played"
"https://localhost:3000/records/most-davis-cup-matches-played","Most Davis Cup Matches Played"
"https://localhost:3000/records/most-matches-played-on-hard-court","Most Matches Played on Hard Court"
"https://localhost:3000/records/most-matches-played-on-clay-court","Most Matches Played on Clay Court"
"https://localhost:3000/records/most-matches-played-on-grass-court","Most Matches Played on Grass Court"
"https://localhost:3000/records/most-matches-played-on-carpet-court","Most Matches Played on Carpet Court"
"https://localhost:3000/records/most-quarterfinals-played","Most Quarterfinals Played"
"https://localhost:3000/records/most-semifinals-played","Most Semifinals Played"
"https://localhost:3000/records/most-finals-played","Most Finals Played – ATP All-Time Records"
"https://localhost:3000/records/most-matches-played-best-of-3","Most Matches Played Best of 3"
"https://localhost:3000/records/most-matches-played-best-of-5","Most Matches Played Best of 5"
"https://localhost:3000/records/most-hard-court-grand-slam-matches-played","Most Hard Court Grand Slam Matches Played"
"https://localhost:3000/records/most-clay-court-grand-slam-matches-played","Most Clay Court Grand Slam Matches Played"
"https://localhost:3000/records/most-grass-court-grand-slam-matches-played","Most Grass Court Grand Slam Matches Played"
"https://localhost:3000/records/most-masters-1000-hard-court-matches-played","Most Masters 1000 Hard Court Matches Played"
"https://localhost:3000/records/most-masters-1000-clay-court-matches-played","Most Masters 1000 Clay Court Matches Played"
"https://localhost:3000/records/most-masters-1000-carpet-court-matches-played","Most Masters 1000 Carpet Court Matches Played"
"https://localhost:3000/records/most-masters-1000-clay-court-matches-played-best-of-3","Most Masters 1000 Clay Court Matches Played Best of 3"
"https://localhost:3000/records/most-masters-1000-hard-court-matches-played-best-of-3","Most Masters 1000 Hard Court Matches Played Best of 3"
"https://localhost:3000/records/most-masters-1000-carpet-court-matches-played-best-of-3","Most Masters 1000 Carpet Court Matches Played Best of 3"
"https://localhost:3000/records/rounds","Rounds"
"https://localhost:3000/records/most-quarterfinals-reached",""
"https://localhost:3000/records/most-semifinals-reached",""
"https://localhost:3000/records/most-finals-reached","Most finals reached"
"https://localhost:3000/records/most-grand-slam-quarterfinals-reached","Most Grand Slam Quarterfinals Reached"
"https://localhost:3000/records/most-grand-slam-semifinals-reached","Most Grand Slam Semifinals Reached"
"https://localhost:3000/records/most-grand-slam-finals-reached","Most Grand Slam Finals Reached"
"https://localhost:3000/records/most-masters-1000-quarterfinals-reached","Most Masters 1000 Quarterfinals Reached"
"https://localhost:3000/records/most-masters-1000-semifinals-reached","Most Masters 1000 Semifinals Reached"
"https://localhost:3000/records/most-masters-1000-finals-reached","Most Masters 1000 Finals Reached"
"https://localhost:3000/records/most-atp-250-quarterfinals-reached","Most ATP 250 Quarterfinals Reached"
"https://localhost:3000/records/most-atp-250-semifinals-reached","Most ATP 250 Semifinals Reached"
"https://localhost:3000/records/most-atp-250-finals-reached","Most ATP 250 Finals Reached"
"https://localhost:3000/records/most-atp-500-quarterfinals-reached","Most ATP 500 Quarterfinals Reached"
"https://localhost:3000/records/most-atp-500-semifinals-reached","Most ATP 500 Semifinals Reached"
"https://localhost:3000/records/most-atp-500-finals-reached","Most ATP 500 Finals Reached"
"https://localhost:3000/records/most-hard-court-quarterfinals-reached","Most Hard Court Quarterfinals Reached"
"https://localhost:3000/records/most-hard-court-semifinals-reached","Most Hard Court Semifinals Reached"
"https://localhost:3000/records/most-hard-court-finals-reached","Most Hard Court Finals Reached"
"https://localhost:3000/records/most-clay-court-quarterfinals-reached","Most Clay Court Quarterfinals Reached"
"https://localhost:3000/records/most-clay-court-semifinals-reached","Most Clay Court Semifinals Reached"
"https://localhost:3000/records/most-clay-court-finals-reached","Most Clay Court Finals Reached"
"https://localhost:3000/records/most-grass-court-quarterfinals-reached","Most Grass Court Quarterfinals Reached"
"https://localhost:3000/records/most-grass-court-semifinals-reached","Most Grass Court Semifinals Reached"
"https://localhost:3000/records/most-grass-court-finals-reached","Most Grass Court Finals Reached"
"https://localhost:3000/records/most-carpet-court-quarterfinals-reached","Most Carpet Court Quarterfinals Reached"
"https://localhost:3000/records/most-carpet-court-semifinals-reached","Most Carpet Court Semifinals Reached"
"https://localhost:3000/records/most-carpet-court-finals-reached","Most Carpet Court Finals Reached"
"https://localhost:3000/records/most-atp-titles","Most ATP Titles"
"https://localhost:3000/records/most-grand-slam-titles","Most Grand Slam Titles"
"https://localhost:3000/records/most-masters-1000-titles","Most Masters 1000 Titles"
"https://localhost:3000/records/most-atp-finals-titles","Most ATP Finals Titles"
"https://localhost:3000/records/most-atp-250-titles","Most ATP 250 Titles"
"https://localhost:3000/records/most-atp-500-titles","Most ATP 500 Titles"
"https://localhost:3000/records/most-davis-cup-titles","Most Davis Cup Titles"
"https://localhost:3000/records/most-titles-won-on-hard-court","Most Titles Won on Hard Court"
"https://localhost:3000/records/most-titles-won-on-clay","Most Titles Won on Clay"
"https://localhost:3000/records/most-titles-won-on-grass","Most Titles Won on Grass"
"https://localhost:3000/records/most-titles-won-on-carpet","Most Titles Won on Carpet"
"https://localhost:3000/records/most-clay-court-grand-slam-titles","Most Clay Court Grand Slam Titles"
"https://localhost:3000/records/most-grass-court-grand-slam-titles","Most Grass Court Grand Slam Titles"
"https://localhost:3000/records/most-hard-court-grand-slam-titles","Most Hard Court Grand Slam Titles"
"https://localhost:3000/records/most-carpet-court-grand-slam-titles","Most Carpet Court Grand Slam Titles"
"https://localhost:3000/records/most-masters-1000-hard-court-titles","Most Masters 1000 Hard Court Titles"
"https://localhost:3000/records/most-masters-1000-clay-court-titles","Most Masters 1000 Clay Court Titles"
"https://localhost:3000/records/most-masters-1000-grass-court-titles","Most Masters 1000 Grass Court Titles"
"https://localhost:3000/records/most-masters-1000-carpet-court-titles","Most Masters 1000 Carpet Court Titles"
"https://localhost:3000/records/most-atp-finals-titles-on-hard-court","Most ATP Finals Titles on Hard Court"
"https://localhost:3000/records/most-atp-finals-titles-on-clay","Most ATP Finals Titles on Clay"
"https://localhost:3000/records/most-atp-finals-titles-on-grass","Most ATP Finals Titles on Grass"
"https://localhost:3000/records/most-atp-finals-titles-on-carpet","Most ATP Finals Titles on Carpet"
"https://localhost:3000/records/most-atp-250-hard-court-titles","Most ATP 250 Hard Court Titles"
"https://localhost:3000/records/most-atp-250-clay-court-titles","Most ATP 250 Clay Court Titles"
"https://localhost:3000/records/most-atp-250-grass-court-titles","Most ATP 250 Grass Court Titles"
"https://localhost:3000/records/most-atp-250-carpet-court-titles","Most ATP 250 Carpet Court Titles"
"https://localhost:3000/records/most-atp-500-hard-court-titles","Most ATP 500 Hard Court Titles"
"https://localhost:3000/records/most-atp-500-clay-court-titles","Most ATP 500 Clay Court Titles"
"https://localhost:3000/records/most-atp-500-grass-court-titles","Most ATP 500 Grass Court Titles"
"https://localhost:3000/records/most-atp-500-carpet-court-titles","Most ATP 500 Carpet Court Titles"
"https://localhost:3000/records/most-davis-cup-hard-court-titles","Most Davis Cup Hard Court Titles"
"https://localhost:3000/records/most-davis-cup-clay-court-titles","Most Davis Cup Clay Court Titles"
"https://localhost:3000/records/most-davis-cup-grass-court-titles","Most Davis Cup Grass Court Titles"
"https://localhost:3000/records/most-davis-cup-carpet-court-titles","Most Davis Cup Carpet Court Titles"
"https://localhost:3000/records/most-appearances","Most Appearances"
"https://localhost:3000/records/most-grand-slam-appearances","Most Grand Slam Appearances"
"https://localhost:3000/records/most-masters-1000-appearances","Most Masters 1000 Appearances"
"https://localhost:3000/records/most-atp-finals-appearances","Most ATP Finals Appearances"
"https://localhost:3000/records/most-atp-250-appearances","Most ATP 250 Appearances"
"https://localhost:3000/records/most-atp-500-appearances","Most ATP 500 Appearances"
"https://localhost:3000/records/most-davis-cup-appearances","Most Davis Cup Appearances"
"https://localhost:3000/records/most-appearances-on-hard-court","Most Appearances on Hard Court"
"https://localhost:3000/records/most-appearances-on-clay-court","Most Clay Court Appearances"
"https://localhost:3000/records/most-appearances-on-grass-court","Most Grass Court Appearances"
"https://localhost:3000/records/most-appearances-on-carpet-court","Most Carpet Court Appearances"
"https://localhost:3000/records/most-appearances-on-hard-court-grand-slam","Most Appearances on Hard Court Grand Slams"
"https://localhost:3000/records/most-clay-court-grand-slam-appearances","Most Clay Court Grand Slam Appearances"
"https://localhost:3000/records/most-grass-court-grand-slam-appearances","Most Grass Court Grand Slam Appearances"
"https://localhost:3000/records/most-carpet-court-grand-slam-appearances","Most Carpet Court Grand Slam Appearances"
"https://localhost:3000/records/most-appearances-on-hard-court-masters-1000","Most Appearances on Hard Court Masters 1000"
"https://localhost:3000/records/most-masters-1000-clay-court-appearances","Most Masters 1000 Clay Court Appearances"
"https://localhost:3000/records/most-masters-1000-grass-court-appearances","Most Masters 1000 Grass Court Appearances"
"https://localhost:3000/records/most-masters-1000-carpet-court-appearances","Most Masters 1000 Carpet Court Appearances"
"https://localhost:3000/records/most-appearances-on-hard-court-atp-finals","Most ATP Finals Appearances on Hard Court"
"https://localhost:3000/records/most-atp-finals-appearances-on-clay","Most ATP Finals Appearances on Clay"
"https://localhost:3000/records/most-atp-finals-appearances-on-grass","Most ATP Finals Appearances on Grass"
"https://localhost:3000/records/most-atp-finals-appearances-on-carpet","Most ATP Finals Appearances on Carpet"
"https://localhost:3000/records/most-appearances-on-hard-court-atp-250","Most Appearances on Hard Court ATP 250"
"https://localhost:3000/records/most-atp-250-clay-court-appearances","Most ATP 250 Clay Court Appearances"
"https://localhost:3000/records/most-atp-250-grass-court-appearances","Most ATP 250 Grass Court Appearances"
"https://localhost:3000/records/most-atp-250-carpet-court-appearances","Most ATP 250 Carpet Court Appearances"
"https://localhost:3000/records/most-appearances-on-hard-court-atp-500","Most Appearances on Hard Court ATP 500"
"https://localhost:3000/records/most-atp-500-clay-court-appearances","Most ATP 500 Clay Court Appearances"
"https://localhost:3000/records/most-atp-500-grass-court-appearances","Most ATP 500 Grass Court Appearances"
"https://localhost:3000/records/most-atp-500-carpet-court-appearances","Most ATP 500 Carpet Court Appearances"
"https://localhost:3000/records/most-appearances-on-hard-court-davis-cup","Most Appearances on Hard Court Davis Cup"
"https://localhost:3000/records/most-davis-cup-clay-court-appearances","Most Davis Cup Clay Court Appearances"
"https://localhost:3000/records/most-davis-cup-grass-court-appearances","Most Davis Cup Grass Court Appearances"
"https://localhost:3000/records/most-davis-cup-carpet-court-appearances","Most Davis Cup Carpet Court Appearances"
"https://localhost:3000/records/best-winning-percentage","Best Winning Percentage"
"https://localhost:3000/records/best-win-percentage-at-grand-slams","Best Win Percentage at Grand Slams"
"https://localhost:3000/records/best-win-percentage-at-masters-1000","Best Win Percentage at Masters 1000"
"https://localhost:3000/records/best-win-percentage-at-atp-finals","Best Win Percentage at ATP Finals"
"https://localhost:3000/records/best-win-percentage-at-atp-250","Best Win Percentage at ATP 250"
"https://localhost:3000/records/best-win-percentage-at-atp-500","Best Win Percentage at ATP 500"
"https://localhost:3000/records/best-win-percentage-on-hard-court","Best Win Percentage on Hard Court"
"https://localhost:3000/records/best-win-percentage-on-clay-court","Best Win Percentage on Clay Court"
"https://localhost:3000/records/best-win-percentage-on-grass-court","Best Win Percentage on Grass Court"
"https://localhost:3000/records/best-win-percentage-on-carpet-court","Best Win Percentage on Carpet Court"
"https://localhost:3000/records/best-win-percentage-in-quarterfinals","Best Win Percentage in Quarterfinals"
"https://localhost:3000/records/best-win-percentage-in-semifinals","Best Win Percentage in Semifinals"
"https://localhost:3000/records/best-win-percentage-in-finals","Best Win Percentage in Finals"
"https://localhost:3000/records/best-winning-percentage-in-grand-slams-on-hard-court","Best Winning Percentage in Grand Slams on Hard Court"
"https://localhost:3000/records/best-win-percentage-at-roland-garros","Best Win Percentage at Roland Garros"
"https://localhost:3000/records/best-win-percentage-at-wimbledon","Best Win Percentage at Wimbledon"
"https://localhost:3000/records/oldest-players-in-main-draw","Oldest Players in Main Draw"
"https://localhost:3000/records/oldest-players-in-main-draw-at-grand-slam","Oldest Players in Main Draw at Grand Slams"
"https://localhost:3000/records/oldest-players-in-main-draw-at-masters-1000","Oldest Players in Main Draw at Masters 1000"
"https://localhost:3000/records/oldest-players-in-main-draw-at-atp-finals","Oldest Players in Main Draw at ATP Finals"
"https://localhost:3000/records/oldest-players-in-main-draw-at-atp-250","Oldest Players in Main Draw at ATP 250"
"https://localhost:3000/records/oldest-players-in-main-draw-at-atp-500","Oldest Players in Main Draw at ATP 500"
"https://localhost:3000/records/oldest-players-in-main-draw-davis-cup","Oldest Players in Main Draw at Davis Cup"
"https://localhost:3000/records/oldest-players-in-main-draw-on-hard-court","Oldest Players in Main Draw on Hard Court"
"https://localhost:3000/records/oldest-players-in-main-draw-on-clay-court","Oldest Players in Main Draw on Clay Court"
"https://localhost:3000/records/oldest-players-in-main-draw-on-grass-court","Oldest Players in Main Draw on Grass Court"
"https://localhost:3000/records/oldest-players-in-main-draw-on-carpet-court","Oldest Players in Main Draw on Carpet Court"
